Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
"Capellini with sausage, spinach, and jalapeno",⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Sausage,Noodles",,,10/8/2018,7.11.2018
Crispy Chicken with Kale,⭐⭐,Fairly Easy,,Main Dish,45,,Taste From Home,,Chicken,,,,#ERROR
Roast Chicken Grain Bowl,⭐,Average,,Main Dish,60,,Taste From Home,,Chicken,,,,#ERROR
Chicken thighs with barley and peas,⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Chicken,,,12/27/2018,27.2.2019
Rice noodles with meatballs and bok choy,⭐⭐⭐⭐,Hard,,Main Dish,45,,Taste From Home,,"Beef,Noodles",,,,#ERROR
Paprika Pork with Roasted Potatoes and Dill Cream,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,"Pork,Potatoes",,,,#ERROR
Chicken cutlets with carrot and kale salad,⭐⭐⭐,Average,,Main Dish,30,,Taste From Home,,Chicken,,,,#ERROR
Gnocchi and sweet potatoes,⭐⭐⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,,,,,#ERROR
Shepherd's Pie,⭐⭐⭐⭐,Hard,,Main Dish,60,,Taste From Home,,"Beef,Potatoes",,,,#ERROR
Garlic Parmesan Chicken,⭐⭐,Super Simple,,Main Dish,45,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Turkey Pot Pie,⭐⭐⭐,Fairly Easy,,Main Dish,60,,Taste From Home,,Turkey,,,,#ERROR
Balsamic Bacon Brussels Sprouts,⭐⭐⭐,Fairly Easy,,Side Dish,40,,Taste From Home,,Bacon,,,11/10/2018,27.12.2018
Lemon Red Potatoes,⭐⭐,Super Simple,,Side Dish,150,,Taste From Home,,Potatoes,,,,#ERROR
Potato and Corn Chowder,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Potatoes,Milk,Cheese",,,,#ERROR
Thai Chicken,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 22 May 2017 06:55 PM.jpg (https://dl.airtable.com/Z63XVsqQauq6CwpajKyU_Image%2022%20May%202017%2006%3A55%20PM.jpg),,,"Chicken,Noodles,Eggs",,,5/22/2017,11.6.2017
Italian Fagoli Vegetable Soup,⭐⭐⭐⭐,Fairly Easy,I added pasta to make it heartier,Main Dish,45,Image 30 May 2017 05:01 PM.jpg (https://dl.airtable.com/fFFAvThIQ3mw2rGZgCHQ_Image%2030%20May%202017%2005%3A01%20PM.jpg),Taste From Home,,"Vegetarian,Beans,Noodles",,,5/30/2017,29.6.2017
Blueberry Pie,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,120,Image 23 June 2017 10:41 AM.jpg (https://dl.airtable.com/qOvtiooJSb6M79W8NpRX_Image%2023%20June%202017%2010%3A41%20AM.jpg),,,,,,6/19/2017,9.7.2017
Chocolate Pudding,⭐⭐⭐⭐,Fairly Easy,,Dessert,30,,,,,,,6/21/2017,21.7.2017
Browned Butter Beets,⭐⭐⭐⭐⭐,Hard,Roast longer than you think,Side Dish,120,Image 23 June 2017 10:46 AM.jpg (https://dl.airtable.com/KPkN6yIYTJSoddFk1mYZ_Image%2023%20June%202017%2010%3A46%20AM.jpg),Taste From Home,,"Beets,Breadcrumbs",,,6/4/2017,24.6.2017
Turkey Soup with Homemade Noodles,⭐⭐⭐⭐,Average,,Main Dish,120,Image 23 June 2017 11:22 AM.jpg (https://dl.airtable.com/Eavm8k3PT6aHMto31leA_Image%2023%20June%202017%2011%3A22%20AM.jpg),,,"Turkey,Noodles",,,11/17/2016,17.12.2016
Home fries,⭐⭐⭐⭐⭐,Super Simple,,Side Dish,45,Image 23 June 2017 11:27 AM.jpg (https://dl.airtable.com/XENllMA5SviZpU4UPHQY_Image%2023%20June%202017%2011%3A27%20AM.jpg),,,Potatoes,,,,#ERROR
Chocolate Raspberry Torte,⭐⭐⭐⭐⭐,Hard,So good,Dessert,60,Image 23 June 2017 11:28 AM.jpg (https://dl.airtable.com/MzknuKyYTUS2b1j6p0eF_Image%2023%20June%202017%2011%3A28%20AM.jpg),,,"Eggs,Milk",,,10/11/2016,31.10.2016
Golden Latte,⭐⭐⭐⭐⭐,Super Simple,,Drink,20,Image 23 June 2017 11:31 AM.jpg (https://dl.airtable.com/nycMbcA3SNGdSRZrKmRP_Image%2023%20June%202017%2011%3A31%20AM.jpg),Taste of Home,,Milk,,,,#ERROR
Fig Shake,⭐⭐⭐⭐,Fairly Easy,,Drink,10,Image 25 June 2017 10:12 AM.jpg (https://dl.airtable.com/qRrXQ9R5QiC0xXb36vVQ_Image%2025%20June%202017%2010%3A12%20AM.jpg),,,Milk,,,,#ERROR
Lentil Soup,⭐⭐⭐,Average,Double it next time,Main Dish,60,,Pinterest,,"Lentils,Vegetarian,Carrots,Onion",,http://www.recipetineats.com/lentil-soup/,8/27/2017,13.10.2017
Buckwheat Tabboulah,⭐,Super Simple,Use more buckwheat,Main Dish,30,,Pinterest,,"Buckwheat,Vegetarian,Carrots,Onion",,http://rawmanda.com/buckwheat-tabbouleh/,8/26/2017,7.11.2017
Lentil Rice Bowls with Egg,⭐⭐⭐⭐,Fairly Easy,Add rice in after 15 minutes and use more water,Main Dish,60,IMG_20170828_182603.jpg (https://dl.airtable.com/E1ucx7U7QtefBIVBGnAz_IMG_20170828_182603.jpg),Pinterest,,"Rice,Lentils,Onion",,https://www.thekitchn.com/recipe-brown-rice-bowl-with-lentils-caramelized-onions-fried-egg-223112,1/5/2019,4.2.2019
Italian Vegetable Lentil Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,60,IMG_20170902_192742.jpg (https://dl.airtable.com/liUlH8GkQcevu863wQ3k_IMG_20170902_192742.jpg),Pinterest,,"Lentils,Onion,Vegetarian",,http://www.cookingclassy.com/italian-vegetable-lentil-soup/,6/26/2018,26.7.2018
One Pot Chicken & Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,90,IMG_20170906_181313.jpg (https://dl.airtable.com/imxl6fVZRG2lv4C2vCHX_IMG_20170906_181313.jpg),Pinterest,,"Potatoes,Chicken,Carrots,Onion",,http://letthebakingbeginblog.com/2014/05/one-pot-chicken-potatoes/,9/30/2018,30.10.2018
Sweet Korean Lentils,⭐⭐⭐⭐⭐,Fairly Easy,DELICIOUS,Main Dish,45,IMG_20170903_192529.jpg (https://dl.airtable.com/BvbfM0QpQVaN3NxGG1iU_IMG_20170903_192529.jpg),Pinterest,,"Lentils,Rice,Onion",,https://itdoesnttastelikechicken.com/easyrecipe-print/7850-0/,2/18/2019,10.3.2019
Buckwheat Beetroot Salad,⭐⭐⭐,Average,,Main Dish,60,IMG_20170904_194839.jpg (https://dl.airtable.com/0sEm7AOlSoazTBM5bFXz_IMG_20170904_194839.jpg),Pinterest,,"Beets,Buckwheat",,https://www.lazycatkitchen.com/warm-buckwheat-beetroot-salad/,12/13/2017,29.1.2018
New Potato Lentil Salad,⭐⭐⭐⭐,Fairly Easy,,Main Dish,50,IMG_20170905_205050.jpg (https://dl.airtable.com/d0Yq3C0jT5mkbCSmcEuM_IMG_20170905_205050.jpg),Pinterest,,"Potatoes,Lentils",,http://www.occasionallyeggs.com/2016/08/roasted-new-potato-salad-with-lentils.html,1/16/2019,15.2.2019
Ham & Potato Soup,⭐⭐⭐⭐,Average,Super yummy,Main Dish,60,IMG_20170910_191325.jpg (https://dl.airtable.com/5e5BcxvQuqgGIs6vJlFk_IMG_20170910_191325.jpg),,,"Potatoes,Ham,Onion,Milk",,http://allrecipes.com/recipe/56927/delicious-ham-and-potato-soup/,7/15/2018,14.8.2018
Lemon Dill Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,50,IMG_20170912_202005.jpg (https://dl.airtable.com/J7H4hi5GRV6rrxFGEvOg_IMG_20170912_202005.jpg),Pinterest,,Potatoes,,https://tastespace.wordpress.com/2015/07/18/creamy-lemon-dill-roasted-potato-salad/,12/16/2018,15.1.2019
BBQ Lentils,⭐⭐⭐,Fairly Easy,Very good,Main Dish,60,IMG_20171001_183430.jpg (https://dl.airtable.com/2qGEqJBqRWuIcR2EmMIU_IMG_20171001_183430.jpg),Pinterest,,"Lentils,Rice",,https://www.rebootedmom.com/2017/08/05/barbecue-lentils-vegan-gluten-free-and-dairy-free/?utm_medium=social&utm_source=pinterest&utm_campaign=tailwind_tribes&utm_content=tribes,10/1/2017,17.11.2017
Healthy Buckwheat Soup,⭐⭐⭐,Super Simple,Eh,Main Dish,45,IMG_20170916_181235.jpg (https://dl.airtable.com/bjRWrzjrQs6w3qzaiWzN_IMG_20170916_181235.jpg),Pinterest,,"Buckwheat,Carrots,Onion",,http://momsdish.com/recipe/385/healthy-buckwheat-soup,12/17/2017,2.2.2018
Buckwheat Chicken Pilaf,⭐⭐⭐⭐⭐,Hard,Extremely good,Main Dish,120,IMG_20170920_214256.jpg (https://dl.airtable.com/je9Mx9xSheiqQxZCleNg_IMG_20170920_214256.jpg),Pinterest,,"Buckwheat,Carrots,Chicken,Onion",,https://natashaskitchen.com/buckwheat-and-beef-pilaf-plov/,1/19/2019,8.2.2019
Vegetable Noodle Soup,⭐⭐⭐⭐,Super Simple,"Luke's favorite way to eat noodles.  Absorbs a lot of water, need to add more second day",Main Dish,40,IMG_20170925_215045.jpg (https://dl.airtable.com/JQIiOBR4TpmSmdeH3yhU_IMG_20170925_215045.jpg),Pinterest,,"Carrots,Noodles",,http://thevegan8.com/2014/10/18/classic-vegan-noodle-soup/,8/28/2018,27.9.2018
Bacon and Honey Potato Salad,⭐⭐⭐,Fairly Easy,Don't cook bacon too long,Main Dish,45,IMG_20170926_202224.jpg (https://dl.airtable.com/JZAXR9V6Q4i0cIgTt1KJ_IMG_20170926_202224.jpg),Pinterest,,"Potatoes,Bacon",,https://www.smalltownwoman.com/warm-bacon-honey-mustard-potato-salad/,10/3/2017,19.11.2017
Pretzel Sticks,⭐⭐⭐⭐,Average,Flip pretzel sticks half way through,Baking Basics,60,IMG_20171004_185102.jpg (https://dl.airtable.com/BqCrs9szQ2qO8baJtDZ5_IMG_20171004_185102.jpg),Pinterest,,"Eggs,Flour,Yeast",,https://gatherforbread.com/german-soft-pretzel-sticks/,10/4/2017,3.11.2017
Golden French Lentil Soup,⭐⭐⭐,Fairly Easy,Best lentil soup,Main Dish,60,IMG_20171008_191344.jpg (https://dl.airtable.com/Q4vRvQcISjiBtmS36C9j_IMG_20171008_191344.jpg),Pinterest,,Lentils,,https://www.veggiesdontbite.com/vegan-lentil-stew-oh-she-glows-every-day/,2/1/2019,20.3.2019
Lentil Shepherd's Pie,⭐⭐⭐⭐⭐,Average,So good,Main Dish,90,IMG_20171010_202849.jpg (https://dl.airtable.com/hBYymGVDQGfu2tNzilSM_IMG_20171010_202849.jpg),Pinterest,,"Lentils,Carrots,Onion,Peas,Potatoes",,https://itdoesnttastelikechicken.com/seriously-the-best-lentil-shepherds-pie/,1/2/2018,22.1.2018
Honey Lime Chicken,⭐⭐⭐,Fairly Easy,Doesn't use the stove!  Sear chicken skin longer (+5 minutes),Main Dish,45,IMG_20171011_210405.jpg (https://dl.airtable.com/lkqbgVlXS66xIHtEBaqC_IMG_20171011_210405.jpg),Pinterest,,"Chicken,Rice",,http://www.juliasalbum.com/2015/09/cilantro-lime-honey-chicken-thighs-recipe/,11/11/2017,28.12.2017
Lentil Curry,⭐⭐,Super Simple,Makes a ton,Main Dish,45,Image 05 November 2017 10:19 PM.jpg (https://dl.airtable.com/GROQwZqFQ4yVmkGVifkY_Image%2005%20November%202017%2010%3A19%20PM.jpg),Pinterest,,"Lentils,Carrots,Onion",,https://www.forksoverknives.com/recipes/indian-curry-lentils/#gs.lUICmXM,1/3/2018,6.3.2018
Dutch Oven Bread,⭐⭐⭐⭐⭐,Super Simple,Bake at 180 for 25 min with lid and 15 min without,Baking Basics,60,Image 05 November 2017 10:21 PM.jpg (https://dl.airtable.com/7M70iG6TQya6cEceynPy_Image%2005%20November%202017%2010%3A21%20PM.jpg),Pinterest,,"Flour,Yeast",,http://www.nutritiouseats.com/rosemary-dutch-oven-bread/,11/5/2017,25.11.2017
Potato Apple Roast,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20171030_190727.jpg (https://dl.airtable.com/nPnjDb0BRku1puJMbbDV_IMG_20171030_190727.jpg),Pinterest,,"Apple,Potatoes,Ham",,https://www.healthyseasonalrecipes.com/roasted-potatoes-with-apples-sausage-and-maple-mustard-glaze/,7/21/2018,20.8.2018
Baking Powder Biscuits,⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171025_194215.jpg (https://dl.airtable.com/TAg3LU3KTmfFTududA1z_IMG_20171025_194215.jpg),Pinterest,,"Flour,Milk,Eggs",,https://www.kingarthurflour.com/recipes/baking-powder-biscuits-recipe,10/25/2017,24.11.2017
Sugar Cookies,⭐⭐⭐⭐⭐,Fairly Easy,,Baking Basics,25,IMG_20171018_201605 (1).jpg (https://dl.airtable.com/4vnxD8l8Q5Wug5hk8UCX_IMG_20171018_201605%20(1).jpg),Pinterest,,"Flour,Eggs",,https://deliciouslysprinkled.com/soft-sugar-cookies/,10/18/2017,7.11.2017
Potato Curry,⭐⭐⭐⭐,Fairly Easy,"Too tomatoey, use less tomato, more cream",Main Dish,35,IMG_20171017_203922.jpg (https://dl.airtable.com/l7K4dXk5RO6BvLmeevoq_IMG_20171017_203922.jpg),Pinterest,,"Potatoes,Vegetarian",,http://www.savorytooth.com/easy-weeknight-potato-curry/,1/14/2018,13.2.2018
Bucatini all'Amatriciana,⭐⭐⭐⭐,Hard,Very yummy,Main Dish,45,IMG_20171107_194756.jpg (https://dl.airtable.com/htqJKwQbmGoj2QwpxWcg_IMG_20171107_194756.jpg),Pinterest,,"Noodles,Tomatoes,Bacon",,https://www.bonappetit.com/recipe/bucatini-all-amatriciana-2,7/19/2018,18.8.2018
Brioche Chocolate Rolls,⭐⭐⭐⭐,Fairly Easy,,Baking Basics,120,IMG_20171108_194838.jpg (https://dl.airtable.com/POvIUieQC2fl0xYacMgh_IMG_20171108_194838.jpg),Pinterest,,"Flour,Eggs,Yeast,Fish",,https://tutti-dolci.com/2013/11/brioche-rolls-with-chocolate/,11/7/2017,7.12.2017
Naan,⭐⭐⭐⭐⭐,Fairly Easy,Don't fry too long,Baking Basics,45,IMG_20171115_202417.jpg (https://dl.airtable.com/cLizrRURuewXiTWTnyys_IMG_20171115_202417.jpg),Pinterest,,"Milk,Yogurt,Flour,Yeast",,https://food52.com/recipes/24144-homemade-naan?utm_source=cj&affil=cj&utm_medium=affiliate&utm_campaign=Food52+Shop&company=Skimlinks&website=7262954,1/3/2018,23.1.2018
Lemon Poppy Seed Scones,⭐⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171119_085520.jpg (https://dl.airtable.com/1Puc1excSYKxynHKiGfW_IMG_20171119_085520.jpg),Pinterest,,"Flour,Butter,Sour Cream",,http://barefootandbaking.blogspot.ru/2012/05/lemon-poppy-seed-scones.html,11/19/2017,9.12.2017
Balsamic Dijon Root Vegetables,⭐⭐⭐⭐,Fairly Easy,Really yummy - takes a long time to cook,Main Dish,150,IMG_20171118_193436.jpg (https://dl.airtable.com/027Y0V49Rru33eUhbZHY_IMG_20171118_193436.jpg),Pinterest,,"Potatoes,Onion,Carrots,Parsnips",,http://www.thecreativebite.com/balsamic-dijon-roasted-root-vegetables/,6/19/2018,19.7.2018
Best Baked Chicken Legs,⭐⭐⭐⭐⭐,Super Simple,Luke loves it,Main Dish,90,IMG_20171121_204505.jpg (https://dl.airtable.com/2SBNOGv5TqSKJTKEiS4Y_IMG_20171121_204505.jpg),Pinterest,,"Chicken,Rice",,https://www.blessthismessplease.com/chicken-legs/?m,1/11/2019,31.1.2019
Spanish Lentil Soup,,Fairly Easy,Burns in an enamel pot,Main Dish,60,,Pinterest,,"Ham,Lentils",,http://www.myrecipes.com/recipe/spanish-style-lentil-soup,11/19/2017,19.11.2017
Chocolate Chip Irish Soda Bread,⭐⭐,Average,Can use enamel pot instead of skillet,Baking Basics,60,,Pinterest,,"Flour,Chocolate Chips",,http://www.delish.com/cooking/recipe-ideas/recipes/a51728/irish-soda-bread-recipe/,12/2/2017,2.2.2018
Malteese Gilatti,⭐⭐,Average,Hard to get them toasty,Baking Basics,120,,Pinterest,,"Flour,Butter,Yeast",,http://www.ilovefood.com.mt/recipes/galletti-recipe/,12/17/2017,17.2.2018
Buckwheat Carrot and Onion,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Pinterest,,"Buckwheat,Carrots,Onion",,http://www.pinchofcinnamon.com/2011/12/cooking-buckwheat.html,1/10/2018,9.2.2018
Sweet Potatoes with Yogurt and Chickpeas,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Chickpeas,Potatoes,Yogurt,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/9,1/8/2019,28.1.2019
Spanish Chickpeas,⭐⭐⭐⭐⭐,Average,Don't forget to make Naan dough ahead of time,Main Dish,45,,,,"Chickpeas,Flour,Yogurt,Onion,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/3,1/21/2019,10.2.2019
Lemon Fettuchini,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Noodles,Coconut milk",,https://veganheaven.org/recipe/lemon-spaghetti-with-spinach/,6/1/2018,1.7.2018
Chickpea Masala,⭐⭐⭐⭐⭐,Fairly Easy,Don't forget to make Naan dough ahead of time,Main Dish,40,IMG_20180326_175645649.jpg (https://dl.airtable.com/dGGgiQvRTO9Wbz9OGj9S_IMG_20180326_175645649.jpg),,,"Chickpeas,Flour,Yogurt,Eggs",,,11/11/2018,1.12.2018
Chickpea Broccoli Pesto,⭐⭐⭐,Super Simple,,Side Dish,40,,,,"Broccoli,Chickpeas",,,6/1/2018,18.7.2018
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30,IMG_20180327_174117059.jpg (https://dl.airtable.com/Ispbhu7sSgGPxh91EYGf_IMG_20180327_174117059.jpg),,,"Coconut milk,Noodles",,https://www.budgetbytes.com/thai-curry-vegetable-soup/,7/11/2018,27.8.2018
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://dl.airtable.com/GYExvowQaymPhacQjUot_IMG_20180401_180911317_HDR.jpg),,,"Chicken,Rice",,,4/1/2018,1.5.2018
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Can throw in carrots as well,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://dl.airtable.com/k1I6BSNpT9KIRG1NgURE_IMG_20180401_180921951_HDR.jpg),,,Parsnips,,,4/1/2018,21.4.2018
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Potatoes for 25 min then aspargus for 15,Main Dish,40,,,,"Potatoes,Asparagus",,http://wallflowerkitchen.com/balsamic-roasted-new-potatoes-asparagus/,3/30/2018,16.5.2018
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,,,,"Quinoa,Brussels Sprouts ,Sweet potato",,https://laurenkellynutrition.com/sweet-potato-brussels-sprout-quinoa-bowl/,12/30/2018,29.1.2019
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://dl.airtable.com/1wUmqwJ6Qk2UbBTx57C5_IMG_20180430_173418382_HDR.jpg),,,"Quinoa,Cabbage,Peanut",,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/,2/16/2019,18.3.2019
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,,Main Dish,30,,,,"Orzo,Asparagus",,https://www.thegardengrazer.com/2018/03/lemon-garlic-orzo-with-asparagus.html,6/13/2018,30.7.2018
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,,Main Dish,60,IMG_20180416_180744528.jpg (https://dl.airtable.com/Lxd3sASyRkuz5wtkRYfR_IMG_20180416_180744528.jpg),,,"Sweet potato,Lentils,Spinach,Onion,Carrots",,https://monkeyandmekitchenadventures.com/moroccan-sweet-potato-lentil-stew/,4/16/2018,2.6.2018
